(Contribution||has||Hyperparameters)
(Hyperparameters||For||sequential LSTM baseline)
(sequential LSTM baseline||for||language model)
(language model||found||optimal dropout rate)
(optimal dropout rate||of||0.3)
(Hyperparameters||For||both models)
(both models||tuned||dropout rate)
(dropout rate||to maximize||validation set likelihood)
(dropout rate||obtaining||optimal rates)
(optimal rates||of||0.2 ( discriminative ))
(optimal rates||of||0.3 ( generative ))
(Hyperparameters||For||training)
(training||used||stochastic gradient descent)
(stochastic gradient descent||with||learning rate)
(learning rate||of||0.1)
(Hyperparameters||For||generative model)
(generative model||used||256 dimensions)
(generative model||used||2 layer LSTMs)
(Hyperparameters||For||discriminative model)
(discriminative model||used||hidden dimensions)
(hidden dimensions||of||128)
(discriminative model||used||2 - layer LSTMs)
