(Contribution||has||Baselines)
(Baselines||On||FDDB dataset)
(FDDB dataset||compare with||all public methods)
(Baselines||On||AFW and PASCAL faces datasets)
(AFW and PASCAL faces datasets||compare with||deformable part based methods)
(deformable part based methods||e.g.||structure model)
(deformable part based methods||e.g.||Tree Parts Model)
(AFW and PASCAL faces datasets||compare with||cascade - based methods)
(cascade - based methods||e.g .||Headhunter)
(AFW and PASCAL faces datasets||compare with||commercial system)
(commercial system||e.g.||face.com)
(commercial system||e.g.||Face ++)
(commercial system||e.g.||Picasa)
