(Contribution||has||Approach)
(Approach||compare||unsupervised measures)
(unsupervised measures||to||state - of - the - art supervised methods)
(Approach||analyze||performance)
(performance||in||different settings)
(performance||of||measures)
(Approach||perform||extensive evaluation)
(extensive evaluation||of||various unsupervised distributional measures)
(various unsupervised distributional measures||using||several distributional semantic models)
(several distributional semantic models||differ by||context type and feature weighting)
(various unsupervised distributional measures||for||hypernymy detection)
(Approach||suggest||principled way)
(principled way||to select||suitable measure)
(principled way||to select||context type)
(principled way||to select||feature weighting)
